น้ำยาสำหรับล้างฆ่าเชื้อและแช่เก็บเลนส์	﻿contact lens fluid			1	น้ำยาสำหรับล้างฆ่าเชื้อและแช่เก็บเลนส์
กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร	Ministry of Technology Information and Communications			1	กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร
ในภาคพื้นเอเชียตะวันออกเฉียงใต้	in (the area of) Southeast Asia.			1	ในภาคพื้นเอเชียตะวันออกเฉียงใต้
สมเด็จพระบรมราชชนนี(สมเด็จย่า)	Her Royal Highness Somdej Phra Sri Nakarindra (HRH the Princess Mother).			1	สมเด็จพระบรมราชชนนี(สมเด็จย่า)
อยู่ในระยะที่เพิ่งเริ่มตื่นตัว	at the beginning stage			1	อยู่ในระยะที่เพิ่งเริ่มตื่นตัว
ผู้เชี่ยวชาญทางด้านคอมพิวเตอร์	computer technician			1	ผู้เชี่ยวชาญทางด้านคอมพิวเตอร์
ทำเรื่องเล็กให้เป็นเรื่องใหญ่	make a small matter to a be a big one			1	ทำเรื่องเล็กให้เป็นเรื่องใหญ่
บิ๊กตุ๋ย(อิสระพงศ์หนุนภักดี)	former Minister of Interior.			1	บิ๊กตุ๋ย(อิสระพงศ์หนุนภักดี)
เจ้าหน้าที่รักษาความปลอดภัย	guard			1	เจ้าหน้าที่รักษาความปลอดภัย
กองทุนการเงินระหว่างประเทศ	the International Monetary Fund (IMF)			1	กองทุนการเงินระหว่างประเทศ
องค์การแรงงานระหว่างประเทศ	International Labor Organization			1	องค์การแรงงานระหว่างประเทศ
พระบาทสมเด็จพระเจ้าอยู่หัว	His Majesty King Bhumipol Adulyadej.			1	พระบาทสมเด็จพระเจ้าอยู่หัว
กรมการพลังงานไฟฟ้าแห่งชาติ	National Electricity Authority.			1	กรมการพลังงานไฟฟ้าแห่งชาติ
การอนุมัติอย่างเป็นทางการ	formal approval			1	การอนุมัติอย่างเป็นทางการ
เครื่องวัดระดับเชื้อเพลิง	fuel gauge			1	เครื่องวัดระดับเชื้อเพลิง
ตัวแบบทางเลือกที่มีเหตุผล	rational choice model.			1	ตัวแบบทางเลือกที่มีเหตุผล
ของกระจุกกระจิกเล็กๆน้อยๆ	sundries			1	ของกระจุกกระจิกเล็กๆน้อยๆ
โรงเรียนนายเรือทหารอากาศ	Air Force Academy.			1	โรงเรียนนายเรือทหารอากาศ
สถานีบำรุงพันธ์ุสัตว์น้ำ	fishery station			1	สถานีบำรุงพันธ์ุสัตว์น้ำ
